Origin_airport,Destination_airport,Total_Passengers,Org_airport_lat,Org_airport_long,Dest_airport_lat,Dest_airport_long
LAX,MIA,7053164,33.94250107,-118.4079971,25.7931995391846,-80.2906036376953
MIA,MCO,7043810,25.7931995391846,-80.2906036376953,28.4293994903564,-81.3089981079102
MCI,ATL,7011848,39.2976,-94.713898,33.6366996765137,-84.4281005859375
OAK,SNA,7005151,37.7212982177734,-122.221000671387,33.67570114,-117.8679962
SNA,OAK,7002081,33.67570114,-117.8679962,37.7212982177734,-122.221000671387
MIA,LAX,6987182,25.7931995391846,-80.2906036376953,33.94250107,-118.4079971
CLT,LGA,6984138,35.2140007019043,-80.9430999755859,40.77719879,-73.87259674
ORD,BDL,6977365,41.97859955,-87.90480042,41.9388999939,-72.6831970215
SLC,SEA,6937342,40.7883987426758,-111.977996826172,47.4490013122559,-122.30899810791
PHL,PIT,6922208,39.871898651123,-75.241096496582,40.49150085,-80.23290253
PIT,ORD,6913789,40.49150085,-80.23290253,41.97859955,-87.90480042
DFW,TPA,6913092,32.896800994873,-97.0380020141602,27.9755001068115,-82.533203125
MCO,CLT,6910598,28.4293994903564,-81.3089981079102,35.2140007019043,-80.9430999755859
PHX,SNA,6906491,33.4342994689941,-112.012001037598,33.67570114,-117.8679962
DFW,ABQ,6902784,32.896800994873,-97.0380020141602,35.0401992797852,-106.609001159668
PHX,ELP,6882780,33.4342994689941,-112.012001037598,31.80719948,-106.3779984
BDL,ORD,6881190,41.9388999939,-72.6831970215,41.97859955,-87.90480042
DFW,MSP,6861234,32.896800994873,-97.0380020141602,44.8819999695,-93.2218017578
